,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
54,9eO079y4Lgk,UCMuPxh75Ca0-A1uADtK3AWw,Deewane Hum Nahi Hote (Slow and Reverb) | Lofi | Hindi - (Slow and Reverb) songs | Lyrical Audio,Deewane Hum Nahi Hote (Slow and Reverb) | Lofi | Hindi - (Slow and Reverb) songs | Lyrical Audio ⤋ #DeewaneHumNhiHote ...,https://i.ytimg.com/vi/9eO079y4Lgk/hqdefault.jpg,Lyrical Audio,none,2021-05-28 14:59:31+09:00,viewCount,lo-fi,9eO079y4Lgk,47581045,536956,10556,3M30S
55,UjOCe8XpM3g,UCh7aocZezr9gnY0uh0uONVA,Milne Hai Mujhse Aayi (Lo-fi) - Arijit Singh | Lo-fi 2307 &amp; Harshal Music | Jeet G | Aashiqui 2,"We are presenting you ""Milne Hai Mujhse Aai(Lo-fi Remake)"" Our 15th track from 2020 + album series. Follow Me On: Instagram ...",https://i.ytimg.com/vi/UjOCe8XpM3g/hqdefault.jpg,Lo-fi 2307 Official,none,2021-10-03 00:30:09+09:00,viewCount,lo-fi,UjOCe8XpM3g,46805719,588631,2976,3M8S
56,iw7kv_5Mshw,UCrCEi8td15_1DBnrU6h0TRA,Banke Hawa Mein [Slowed+Reverb] Altamash Faridi | Sad Song | Lofi Music Channel,"Banke Hawa Mein [Slowed+Reverb] Altamash Faridi | Sad Song | Lofi Music Channel. FOR BEST EXPERIENCE ,USE .",https://i.ytimg.com/vi/iw7kv_5Mshw/hqdefault.jpg,Lofi Music Channel,none,2023-04-28 18:40:31+09:00,viewCount,lo-fi,iw7kv_5Mshw,40050516,315417,6367,4M18S
57,kaBKIzi7rfA,UCmXFP-4hMiVYl-3ZjgP_tpg,Emraan Hashmi Mashup | Amtee | Bollywood Lofi | Tera Mera Rishta | Ya Ali,EmraanHashmiMashup #AmteeMashup #Lofimashup Emraan Hashmi Broken Heart Mashup | Amtee | Bollywood Lofi | Tera Mera ...,https://i.ytimg.com/vi/kaBKIzi7rfA/hqdefault.jpg,AMTEE,none,2022-08-13 01:00:11+09:00,viewCount,lo-fi,kaBKIzi7rfA,36430295,263016,1697,6M43S
58,kC2l-DODse8,UC-UQ-q1_mvuHZndzaiJdxoQ,Shershaah Lofi Mashup | Vinick | Shershaah All Songs | Bpraak | Darshan Raval | Mann Bharryaa,Shershaah Mashup | Vinick | Shershaah All Songs | Bpraak | Darshan Raval | Mann Bharryaa | Ranjha | Raataan Lambiyaan ...,https://i.ytimg.com/vi/kC2l-DODse8/hqdefault.jpg,VINIICK,none,2021-09-10 21:34:01+09:00,viewCount,lo-fi,kC2l-DODse8,35049716,152799,1057,5M15S
59,SIqnvMt8IMU,UCbNB-KMt52Vb7bpMgrr413Q,Pal - Arijit Singh &amp; Shreya Ghoshal  jalebi Song | Slowed and Reverb Lofi Mix,Thanks For Watching ❤️ .. Use Headphone For Better Experience.. Telegram - Indian Slowed And Reverb ...,https://i.ytimg.com/vi/SIqnvMt8IMU/hqdefault.jpg,Indian Slowed And Reverb,none,2021-05-26 12:49:37+09:00,viewCount,lo-fi,SIqnvMt8IMU,33623604,456753,4870,4M33S
60,dXl2NdlmeIE,UCAJcxMaiGu-cjzklR-63ojw,Lofi Version | Bajrang Baan (बजरंग बाण)  With Lyrics - Rasraj Ji Maharaj  @lofibhajans,Subscribe us :- https://bit.ly/3EESq5h Make Reels on - https://www.instagram.com/reels/audio/679388703967968/ Available on ...,https://i.ytimg.com/vi/dXl2NdlmeIE/hqdefault.jpg,Vianet LoFi Bhajans,none,2023-02-11 20:28:04+09:00,viewCount,lo-fi,dXl2NdlmeIE,33240020,602482,22035,3M31S
61,4xDzrJKXOOY,UCSJ4gkVC6NrvII8umztf0Ow,synthwave radio 🌌 - beats to chill/game to,"Listen on Spotify, Apple music and more → https://fanlink.tv/ChillSynthwave | Subscribe to this channel for more synthwave ...",https://i.ytimg.com/vi/4xDzrJKXOOY/hqdefault_live.jpg,Lofi Girl,live,2023-07-03 06:17:31+09:00,viewCount,lo-fi,4xDzrJKXOOY,31826144,307859,0,live
62,GdzrrWA8e7A,UCDVKYPXwdYUQfgA05CkyFSg,Zelda &amp; Chill,Support Zelda & Chill ~ https://vgm.fm/zeldachill Zelda & Chill combines the Legend of Zelda video game music with laid-back lofi ...,https://i.ytimg.com/vi/GdzrrWA8e7A/hqdefault.jpg,GameChops,none,2018-09-14 22:43:18+09:00,viewCount,lo-fi,GdzrrWA8e7A,30856099,513925,18291,40M46S
63,Yh_M4UqcNWI,UCTBPZ6VnW88dTjYlrL2OF0g,Kabhi To Paas Mere Aao (Slowed+Reverb) Song Shrey Singhal | R.T Lofi,Kabhi To Paas Mere Aao (Slowed+Reverb) Song Shrey Singhal | R.T Lofi . . #slowedreverb #viralvideo FOR BETTER ...,https://i.ytimg.com/vi/Yh_M4UqcNWI/hqdefault.jpg,R.T Lofi,none,2023-02-21 21:54:24+09:00,viewCount,lo-fi,Yh_M4UqcNWI,26645310,198551,2986,4M47S
64,rA56B4JyTgI,UCKuHFYu3smtrl2AwwMOXOlg,chill beats to quarantine to,Stuck at home? Throw these lofi beats in the mix and vibe #withme. Get my Bel-Air hoodie here: http://belairathletics.com ...,https://i.ytimg.com/vi/rA56B4JyTgI/hqdefault.jpg,Will Smith,none,2020-03-21 03:27:34+09:00,viewCount,lo-fi,rA56B4JyTgI,19607647,870637,37537,1H30M
65,Bpd9w8cmEuQ,UCLM1zgbM3Mv4kNTdzlbvTJQ,Ishq De Fanniyar - Slowed + Lofi ft @neelesh2405,SHARE WITH UR FRIENDS========== SONG DOWNLOAD LINK TELEGRAM ...,https://i.ytimg.com/vi/Bpd9w8cmEuQ/hqdefault.jpg,ASHU 07,none,2021-10-19 20:07:11+09:00,viewCount,lo-fi,Bpd9w8cmEuQ,19308771,230076,2302,5M49S
66,BLlTFapgvOo,UCAJcxMaiGu-cjzklR-63ojw,Rasraj Ji Maharaj - Lo-fi Version श्री हनुमान चालीसा { Slowed &amp; Reverb } Shree Hanuman Chalisa,"The Hanuman Chalisa is a Hindu devotional hymn in praise of Hanuman. It was authored by Tulsidas in the Awadhi language, ...",https://i.ytimg.com/vi/BLlTFapgvOo/hqdefault.jpg,Vianet LoFi Bhajans,none,2023-04-05 23:16:37+09:00,viewCount,lo-fi,BLlTFapgvOo,18981893,244225,8048,4M19S
67,7NOSDKb0HlU,UCOxqgCwgOqC2lMqC5PYz_Dg,lofi hip hop radio - beats to study/relax to 🐾,Add Chillhop Essentials Summer 2024 to your music library & unlock Freebies ・ https://chillhop.ffm.to/summer2024.OYD!lofiradio ...,https://i.ytimg.com/vi/7NOSDKb0HlU/hqdefault_live.jpg,Chillhop Music,live,2020-03-21 22:58:03+09:00,viewCount,LO-FI,7NOSDKb0HlU,34902259,320083,2,live
68,eLjmQ0aGC1U,UCjKENf7bTijQAecowvhlAHQ,"Tere Hawaale - Lofi (Slowed + Reverb) | Arijit Singh, Shilpa Rao | SR Lofi","Tere Hawaale - Lofi (Slowed + Reverb) | Arijit Singh, Shilpa Rao | SR Lofi Presenting Lofi (Slowed + Reverb) Version of Tere ...",https://i.ytimg.com/vi/eLjmQ0aGC1U/hqdefault.jpg,SR Lofi,none,2022-08-04 15:03:10+09:00,viewCount,Lo-fi,eLjmQ0aGC1U,17199769,212444,4504,6M24S
69,s49CT4DTAkw,UCOxqgCwgOqC2lMqC5PYz_Dg,Chillhop Yearmix 2019 ☕️ jazz beats &amp; lofi hip hop,"To close off the year, here are 2.5 hours of the best chillhop / lofi hip hop tracks in 2019! What's your favorite Chillhop track(s) of ...",https://i.ytimg.com/vi/s49CT4DTAkw/hqdefault.jpg,Chillhop Music,none,2019-12-28 05:00:11+09:00,viewCount,Lo-fi,s49CT4DTAkw,16553869,174755,4130,2H29M26S
