,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
13,1H3s8obvmGw,UCMH3iUW-xRWEHOjvNvsM2Dg,"Raanjhana ve! (slowed×reverb)@Gauravarya211,Antara mitra|Uddipan| Sonu| Love song (lofi)Soham Naik","Raanjhana ve! (slowed×reverb)‎@gauravlofi ,Antara mitra|Uddipan| Sonu| Love song (lofi)Soham Naik #love #love #lofi #trending ...",https://i.ytimg.com/vi/1H3s8obvmGw/hqdefault.jpg,Gaurav Zx,none,2023-06-06 15:11:33+09:00,viewCount,lofi,1H3s8obvmGw,32360881,264865,4887,5M1S
14,jd90S8RePo4,UCNIL8XfwGzatCzoeNavAyFA,Falak Tak Chal Sath Mere || ( Slowed + Reverb ) #lofi #lofimusic @koja_asthetic,Created By - koja_asthetic Use Headphone For Better Experience ♥️. If You Enjoy My Slowed And Reverb Lo-fi Songs ...,https://i.ytimg.com/vi/jd90S8RePo4/hqdefault.jpg,𝙄𝙩𝙭 𝙈𝙪𝙟𝙚𝙚𝙗 𝙈𝙖𝙡𝙞𝙠,none,2023-06-01 22:11:46+09:00,viewCount,lofi,jd90S8RePo4,30141290,233482,3978,6M25S
15,rtTI1rh9U5M,UCGygZw_Qvj1Mi_Uw6D9R-JA,1 Hour Of Night Hindi Lofi Songs To Study \Chill \Relax \Refreshing,latest updates of Lo Fi Song after 1-2 days ✦ SUBSCRIBE ✦ Use Headphones for best experience ✦ Subscribe for new ...,https://i.ytimg.com/vi/rtTI1rh9U5M/hqdefault.jpg,Mood Creations,none,2022-02-16 19:29:17+09:00,viewCount,lofi,rtTI1rh9U5M,29166864,463760,8425,1H6M43S
16,vqXNkEc-WaA,UCjzrDTsJKtMQI33Vii_jEeA,"12 Hours Relaxing Sleep Music 🎵 Meditation Music, Stress Relief Music, Study Music | Sounds of Rain","12 hours of relaxing piano music with relaxing rain and thunder sounds. Perfect for study, relaxation, deep sleep. Track ...",https://i.ytimg.com/vi/vqXNkEc-WaA/hqdefault.jpg,Enlightenment Meditation Music,none,2020-12-16 02:00:18+09:00,viewCount,lofi,vqXNkEc-WaA,28869000,665296,15886,11H57M25S
17,mPcLc9qgBS8,UCTBsi8PDf1095_67DBFXYCw,Oceans (Shalom Margaret Cover) - Lofi Remix,Follow @shalommargaret on TikTok: https://www.tiktok.com/@shalommargaret Listen to Shalom Margaret on Spotify: ...,https://i.ytimg.com/vi/mPcLc9qgBS8/hqdefault.jpg,Fasetya,none,2020-10-31 21:00:29+09:00,viewCount,lofi,mPcLc9qgBS8,28805089,467928,5729,3M39S
18,0W2_ZsNvkM4,UCbNB-KMt52Vb7bpMgrr413Q,Khamoshiyan - Arijit Singh (Slowed+Reverb+Lofi) Song | Indian Lofi,Thanks for watching ❤️ ..use headphones watching.. Telegram - Indian Slowed And Reverb ...,https://i.ytimg.com/vi/0W2_ZsNvkM4/hqdefault.jpg,Indian Slowed And Reverb,none,2021-04-12 22:11:35+09:00,viewCount,lofi,0W2_ZsNvkM4,27801345,391603,6544,6M14S
19,Ir2X1mDi7Y0,UCpiKk7k7VdjLv5FBmYhKbQg,Main Rang Sharbaton Ka-Slowed+Reverb| Use Headphones🎧| Lofi #arijitsingh  #slowedandreverb #viral,mainrangsharbaton #phataposternikalahero #arijitsingh #slowed #reverb #lofi #useheadphones #love #lovesongs #feel ...,https://i.ytimg.com/vi/Ir2X1mDi7Y0/hqdefault.jpg,You Know Ayush,none,2023-06-30 01:00:22+09:00,viewCount,lofi,Ir2X1mDi7Y0,27207805,180601,3798,5M27S
20,dR17U5-VKtw,UChHXA_Hmsj4nYFoTY8pPdnA,3:30 a.m. ~ lofi hip hop / jazzhop / chillhop mix [study/sleep/homework music],Feardog's Spotify playlists: https://spoti.fi/2mM0pLC ▭☆Subscribe and click the bell icon for more chill hip hop beats ♫♪☆▭ ▻I ...,https://i.ytimg.com/vi/dR17U5-VKtw/hqdefault.jpg,Feardog: Lofi Hip Hop,none,2018-10-15 02:45:00+09:00,viewCount,lofi,dR17U5-VKtw,26573577,688846,21568,27M8S
21,Mlq9jrXbEFo,UCTBsi8PDf1095_67DBFXYCw,Heather x Eyes Blue (Lofi Remix),Fran Vasilić - Heather X Eyes Blue (Rewrite) Original https://youtu.be/QMLka1gu9hQ Subscribe Hope You ENJOY Share juga ke ...,https://i.ytimg.com/vi/Mlq9jrXbEFo/hqdefault.jpg,Fasetya,none,2020-10-23 21:00:11+09:00,viewCount,lofi,Mlq9jrXbEFo,26599246,419904,4081,3M1S
22,cbuZfY2S2UQ,UClrzPAgzrAzdWbllvP4Oabg,[ 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 ]  코딩할때 듣기 좋은 노래 • lofi type beat • 3 hours,3시간짜리 반복 재생입니다 광고는 제가 설정 한 것이 아니라 음원 저작권 때문에 자동 생성되는 광고입니다 모든 수익은 음원 ...,https://i.ytimg.com/vi/cbuZfY2S2UQ/hqdefault.jpg,yanu_,none,2020-07-28 20:19:02+09:00,viewCount,lofi,cbuZfY2S2UQ,25841072,0,22664,2H50M28S
23,oBwrlePfchs,UCIEd5t_uEWaFBye5bYIceow,Alone Night -24  Mash-up l Lofi pupil | Bollywood spongs  | Chillout Lo-fi Mix #KaranK2official,drivemashup #lofiboy #bollywoodsongs #Painfullofi #Lovemashup #lofi-mix #karank2official Use Headphone For Better ...,https://i.ytimg.com/vi/oBwrlePfchs/hqdefault.jpg,#KaranK2 official,none,2024-02-15 16:34:46+09:00,viewCount,lofi,oBwrlePfchs,24568994,310717,8145,46M16S
